Time,Amplitude
0.0,5.0
0.01,5.0
0.02,5.0
0.03,5.0
0.04,5.0
0.05,5.0
0.06,5.0
0.07,5.0
0.08,5.0
0.09,5.0
0.1,5.0
0.11,5.0
0.12,5.0
0.13,5.0
0.14,5.0
0.15,5.0
0.16,5.0
0.17,5.0
0.18,5.0
0.19,5.0
0.2,5.0
0.21,5.0
0.22,5.0
0.23,5.0
0.24,5.0
0.25,5.0
0.26,5.0
0.27,5.0
0.28,5.0
0.29,5.0
0.3,5.0
0.31,5.0
0.32,5.0
0.33,5.0
0.34,5.0
0.35000000000000003,5.0
0.36,5.0
0.37,5.0
0.38,5.0
0.39,5.0
0.4,5.0
0.41000000000000003,5.0
0.42,5.0
0.43,5.0
0.44,5.0
0.45,5.0
0.46,5.0
0.47000000000000003,5.0
0.48,5.0
0.49,5.0
0.5,-5.0
0.51,-5.0
0.52,-5.0
0.53,-5.0
0.54,-5.0
0.55,-5.0
0.56,-5.0
0.5700000000000001,-5.0
0.58,-5.0
0.59,-5.0
0.6,-5.0
0.61,-5.0
0.62,-5.0
0.63,-5.0
0.64,-5.0
0.65,-5.0
0.66,-5.0
0.67,-5.0
0.68,-5.0
0.6900000000000001,-5.0
0.7000000000000001,-5.0
0.71,-5.0
0.72,-5.0
0.73,-5.0
0.74,-5.0
0.75,-5.0
0.76,-5.0
0.77,-5.0
0.78,-5.0
0.79,-5.0
0.8,-5.0
0.81,-5.0
0.8200000000000001,-5.0
0.8300000000000001,-5.0
0.84,-5.0
0.85,-5.0
0.86,-5.0
0.87,-5.0
0.88,-5.0
0.89,-5.0
0.9,-5.0
0.91,-5.0
0.92,-5.0
0.93,-5.0
0.9400000000000001,-5.0
0.9500000000000001,-5.0
0.96,-5.0
0.97,-5.0
0.98,-5.0
0.99,-5.0
1.0,5.0
1.01,5.0
1.02,5.0
1.03,5.0
1.04,5.0
1.05,5.0
1.06,5.0
1.07,5.0
1.08,5.0
1.09,5.0
1.1,5.0
1.11,5.0
1.12,5.0
1.1300000000000001,5.0
1.1400000000000001,5.0
1.1500000000000001,5.0
1.16,5.0
1.17,5.0
1.18,5.0
1.19,5.0
1.2,5.0
1.21,5.0
1.22,5.0
1.23,5.0
1.24,5.0
1.25,5.0
1.26,5.0
1.27,5.0
1.28,5.0
1.29,5.0
1.3,5.0
1.31,5.0
1.32,5.0
1.33,5.0
1.34,5.0
1.35,5.0
1.36,5.0
1.37,5.0
1.3800000000000001,5.0
1.3900000000000001,5.0
1.4000000000000001,5.0
1.41,5.0
1.42,5.0
1.43,5.0
1.44,5.0
1.45,5.0
1.46,5.0
1.47,5.0
1.48,5.0
1.49,5.0
1.5,-5.0
1.51,-5.0
1.52,-5.0
1.53,-5.0
1.54,-5.0
1.55,-5.0
1.56,-5.0
1.57,-5.0
1.58,-5.0
1.59,-5.0
1.6,-5.0
1.61,-5.0
1.62,-5.0
1.6300000000000001,-5.0
1.6400000000000001,-5.0
1.6500000000000001,-5.0
1.6600000000000001,-5.0
1.67,-5.0
1.68,-5.0
1.69,-5.0
1.7,-5.0
1.71,-5.0
1.72,-5.0
1.73,-5.0
1.74,-5.0
1.75,-5.0
1.76,-5.0
1.77,-5.0
1.78,-5.0
1.79,-5.0
1.8,-5.0
1.81,-5.0
1.82,-5.0
1.83,-5.0
1.84,-5.0
1.85,-5.0
1.86,-5.0
1.87,-5.0
1.8800000000000001,-5.0
1.8900000000000001,-5.0
1.9000000000000001,-5.0
1.9100000000000001,-5.0
1.92,-5.0
1.93,-5.0
1.94,-5.0
1.95,-5.0
1.96,-5.0
1.97,-5.0
1.98,-5.0
1.99,-5.0
2.0,5.0
2.0100000000000002,5.0
2.02,5.0
2.0300000000000002,5.0
2.04,5.0
2.05,5.0
2.06,5.0
2.07,5.0
2.08,5.0
2.09,5.0
2.1,5.0
2.11,5.0
2.12,5.0
2.13,5.0
2.14,5.0
2.15,5.0
2.16,5.0
2.17,5.0
2.18,5.0
2.19,5.0
2.2,5.0
2.21,5.0
2.22,5.0
2.23,5.0
2.24,5.0
2.25,5.0
2.2600000000000002,5.0
2.27,5.0
2.2800000000000002,5.0
2.29,5.0
2.3000000000000003,5.0
2.31,5.0
2.32,5.0
2.33,5.0
2.34,5.0
2.35,5.0
2.36,5.0
2.37,5.0
2.38,5.0
2.39,5.0
2.4,5.0
2.41,5.0
2.42,5.0
2.43,5.0
2.44,5.0
2.45,5.0
2.46,5.0
2.47,5.0
2.48,5.0
2.49,5.0
2.5,-5.0
2.5100000000000002,-5.0
2.52,-5.0
2.5300000000000002,-5.0
2.54,-5.0
2.5500000000000003,-5.0
2.56,-5.0
2.57,-5.0
2.58,-5.0
2.59,-5.0
2.6,-5.0
2.61,-5.0
2.62,-5.0
2.63,-5.0
2.64,-5.0
2.65,-5.0
2.66,-5.0
2.67,-5.0
2.68,-5.0
2.69,-5.0
2.7,-5.0
2.71,-5.0
2.72,-5.0
2.73,-5.0
2.74,-5.0
2.75,-5.0
2.7600000000000002,-5.0
2.77,-5.0
2.7800000000000002,-5.0
2.79,-5.0
2.8000000000000003,-5.0
2.81,-5.0
2.82,-5.0
2.83,-5.0
2.84,-5.0
2.85,-5.0
2.86,-5.0
2.87,-5.0
2.88,-5.0
2.89,-5.0
2.9,-5.0
2.91,-5.0
2.92,-5.0
2.93,-5.0
2.94,-5.0
2.95,-5.0
2.96,-5.0
2.97,-5.0
2.98,-5.0
2.99,-5.0
3.0,5.0
3.0100000000000002,5.0
3.02,5.0
3.0300000000000002,5.0
3.04,5.0
3.0500000000000003,5.0
3.06,5.0
3.0700000000000003,5.0
3.08,5.0
3.09,5.0
3.1,5.0
3.11,5.0
3.12,5.0
3.13,5.0
3.14,5.0
3.15,5.0
3.16,5.0
3.17,5.0
3.18,5.0
3.19,5.0
3.2,5.0
3.21,5.0
3.22,5.0
3.23,5.0
3.24,5.0
3.25,5.0
3.2600000000000002,5.0
3.27,5.0
3.2800000000000002,5.0
3.29,5.0
3.3000000000000003,5.0
3.31,5.0
3.3200000000000003,5.0
3.33,5.0
3.34,5.0
3.35,5.0
3.36,5.0
3.37,5.0
3.38,5.0
3.39,5.0
3.4,5.0
3.41,5.0
3.42,5.0
3.43,5.0
3.44,5.0
3.45,5.0
3.46,5.0
3.47,5.0
3.48,5.0
3.49,5.0
3.5,-5.0
3.5100000000000002,-5.0
3.52,-5.0
3.5300000000000002,-5.0
3.54,-5.0
3.5500000000000003,-5.0
3.56,-5.0
3.5700000000000003,-5.0
3.58,-5.0
3.59,-5.0
3.6,-5.0
3.61,-5.0
3.62,-5.0
3.63,-5.0
3.64,-5.0
3.65,-5.0
3.66,-5.0
3.67,-5.0
3.68,-5.0
3.69,-5.0
3.7,-5.0
3.71,-5.0
3.72,-5.0
3.73,-5.0
3.74,-5.0
3.75,-5.0
3.7600000000000002,-5.0
3.77,-5.0
3.7800000000000002,-5.0
3.79,-5.0
3.8000000000000003,-5.0
3.81,-5.0
3.8200000000000003,-5.0
3.83,-5.0
3.84,-5.0
3.85,-5.0
3.86,-5.0
3.87,-5.0
3.88,-5.0
3.89,-5.0
3.9,-5.0
3.91,-5.0
3.92,-5.0
3.93,-5.0
3.94,-5.0
3.95,-5.0
3.96,-5.0
3.97,-5.0
3.98,-5.0
3.99,-5.0
